Ticker,Close,CCI_20,SMA_20,Yearly_Low,Monthly_Low,Weekly_Low,%_From_Y_Low,%_From_M_Low,%_From_W_Low,Near_Y_Low,Near_M_Low,Near_W_Low,CCI_History
PRAJIND.NS,383.55,-40.02,392.72,273.0,356.5,380.55,40.49,7.59,0.79,False,False,True,119.8|101.1|104.1|90.3|68.5|56.6|47.2|35.8|12.9|-24.7|-90.1|-107.7|-159.0|-88.3|-49.1|-26.9|-37.3|-19.2|3.6|-40.0
VBL.NS,534.75,154.74,512.92,380.16,484.65,514.15,40.66,10.34,4.01,False,False,True,104.0|92.0|81.0|69.2|66.0|64.8|57.5|32.4|-6.4|-28.4|3.3|18.5|21.7|68.4|50.6|108.2|229.0|172.9|137.9|154.7
BOMDYEING.NS,129.41,80.57,124.35,92.0,111.51,120.0,40.66,16.05,7.84,False,False,False,39.8|39.7|240.6|228.8|217.8|244.1|202.1|110.0|36.3|30.1|49.8|30.8|-20.3|-3.8|-17.5|-2.4|28.2|47.7|40.5|80.6
CARBORUNIV.NS,1035.0,3.39,1029.3,735.2,939.95,1005.0,40.78,10.11,2.99,False,False,True,84.3|69.1|98.9|91.9|111.3|151.6|175.2|167.1|120.2|135.1|121.3|182.4|215.3|135.8|98.7|81.5|78.0|66.7|41.4|3.4
LXCHEM.NS,151.96,-26.61,154.12,107.6,142.34,150.93,41.23,6.76,0.68,False,False,True,62.4|55.2|63.3|49.7|121.3|209.2|238.3|178.7|105.9|74.4|75.7|32.5|11.9|46.9|66.7|74.2|-8.4|9.6|-1.8|-26.6
IITL.NS,152.7,-227.72,162.67,108.0,151.24,151.24,41.39,0.97,0.97,False,True,True,72.2|55.5|38.5|18.0|14.0|21.8|-5.6|-42.9|-45.6|-6.3|31.0|-8.5|-86.8|-39.5|-38.4|-27.0|195.7|30.2|-129.1|-227.7
OLECTRA.NS,1228.0,-51.22,1251.77,866.6,1175.0,1202.9,41.7,4.51,2.09,False,True,True,65.8|61.3|67.6|60.4|103.4|121.2|245.0|277.3|101.0|55.5|15.4|-26.1|-130.6|-87.9|-80.8|-89.2|-103.6|-73.0|-59.0|-51.2
LODHA.NS,922.45,51.93,902.32,650.8,830.2,875.0,41.74,11.11,5.42,False,False,False,87.2|79.5|105.3|100.7|145.0|170.4|168.1|97.6|-1.1|-45.8|-61.9|-91.5|-109.6|-35.8|-51.1|-18.5|-33.6|13.5|12.6|51.9
AUROPHARMA.NS,1441.5,-35.4,1471.32,1016.1,1367.0,1428.0,41.87,5.45,0.95,False,False,True,35.4|28.8|1.0|67.2|194.0|195.3|191.8|158.7|136.6|127.3|129.7|116.1|91.0|93.2|92.9|105.9|16.4|-28.3|-16.1|-35.4
FACT.NS,925.65,133.54,889.5,652.1,846.0,861.4,41.95,9.41,7.46,False,False,False,47.9|43.5|51.7|46.1|58.1|73.5|55.5|-74.3|-173.3|-173.6|-120.5|-61.4|-164.5|-100.1|-127.8|-74.2|-41.3|-26.1|40.3|133.5
GNFC.NS,518.15,82.32,501.89,365.0,466.0,504.9,41.96,11.19,2.62,False,False,True,44.9|36.7|46.1|68.4|109.7|125.3|119.2|62.4|-36.9|35.3|236.5|216.6|158.8|221.1|131.9|90.5|60.7|67.6|65.3|82.3
ADANIPORTS.NS,1833.7,135.35,1756.83,1290.5,1596.8,1776.8,42.09,14.84,3.2,False,False,True,92.9|96.1|141.4|141.3|143.6|118.5|130.0|119.8|65.7|71.6|102.3|117.6|88.8|82.8|66.9|93.8|91.8|105.9|111.6|135.3
ASHOKLEY.NS,162.48,31.64,159.32,114.19,148.76,153.75,42.29,9.22,5.68,False,False,False,-47.6|-58.1|-83.3|-113.9|-64.5|-6.1|-23.4|-92.7|-144.4|-156.7|-149.6|-122.4|-141.6|-124.6|-103.7|-60.3|-38.3|42.8|26.5|31.6
RADICO.NS,3468.0,48.66,3475.03,2432.77,3292.7,3459.5,42.55,5.32,0.25,False,False,True,91.7|91.4|81.9|64.5|58.6|70.6|94.3|99.5|81.1|82.9|92.0|108.6|72.7|159.3|161.5|128.8|113.2|97.7|100.0|48.7
GTLINFRA.NS,1.37,58.16,1.32,0.96,1.22,1.3,42.71,12.3,5.38,False,False,False,39.9|22.2|39.0|32.4|-23.0|471.4|347.6|243.5|88.5|176.3|127.3|79.5|25.8|25.2|12.4|19.4|11.2|49.2|56.4|58.2
SARLAPOLY.NS,98.02,134.5,94.7,68.4,88.5,93.76,43.3,10.76,4.54,False,False,True,46.4|45.7|88.9|90.0|108.0|108.9|65.7|30.2|38.8|111.9|124.0|69.3|0.9|40.4|87.0|76.0|69.7|142.9|150.0|134.5
VAKRANGEE.NS,6.62,-7.1,6.6,4.61,6.17,6.27,43.6,7.29,5.58,False,False,False,28.7|27.6|10.8|-44.2|-70.5|-2.9|-1.2|-69.6|-151.4|-162.8|-154.4|-143.8|-173.3|-155.1|-129.6|-102.8|-58.1|12.1|-7.2|-7.1
EICHERMOT.NS,7399.5,99.08,7142.28,5152.69,6752.5,6863.0,43.6,9.58,7.82,False,False,False,7.6|16.8|89.4|119.4|120.4|168.1|92.0|19.9|-24.5|-176.0|-158.9|-109.8|-179.0|-150.8|-167.0|-112.4|-64.4|113.2|113.8|99.1
NACLIND.NS,161.76,-40.73,165.01,112.62,154.69,154.69,43.63,4.57,4.57,False,True,True,1.1|-9.0|3.9|40.9|77.8|162.1|138.7|65.3|2.4|-4.0|-16.5|-48.3|-73.7|-37.9|-40.6|-5.1|-70.7|-101.8|-49.1|-40.7
TATASTEEL.NS,215.18,44.57,212.73,149.8,203.04,207.66,43.64,5.98,3.62,False,False,True,59.4|43.0|58.2|23.6|113.7|176.9|108.3|21.7|26.1|187.8|234.1|144.7|-137.0|-94.3|-180.5|-104.0|-86.7|-58.1|-55.2|44.6
RUPA.NS,157.03,164.66,148.12,109.21,138.75,145.0,43.79,13.17,8.3,False,False,False,60.2|64.8|62.8|38.0|32.9|51.9|46.4|13.6|-62.3|-111.2|-117.4|-106.3|-123.5|-59.1|-62.4|-42.3|-36.8|6.9|60.2|164.7
INGERRAND.NS,4411.5,-1.34,4395.85,3063.3,4195.2,4316.8,44.01,5.16,2.19,False,False,True,120.7|124.3|101.8|74.8|92.4|146.8|151.3|107.5|61.6|-0.0|-1.7|36.7|18.5|55.4|58.0|87.5|95.2|2.3|-41.5|-1.3
ENGINERSIN.NS,233.8,-68.89,245.14,162.35,213.0,213.0,44.01,9.77,9.77,False,False,False,79.4|74.3|90.9|90.2|98.4|96.8|74.5|25.8|-57.0|-64.2|3.0|-29.3|-134.8|-71.0|-102.9|-105.5|-257.8|-165.7|-104.0|-68.9
VISAKAIND.NS,72.34,2.16,72.53,50.2,65.01,71.21,44.1,11.28,1.59,False,False,True,102.8|130.3|70.3|63.0|213.2|217.5|221.3|268.9|161.9|138.6|120.0|115.4|94.9|82.3|34.5|16.2|13.2|42.4|40.1|2.2
NMDC.NS,92.25,141.31,89.63,63.94,86.38,87.29,44.28,6.8,5.68,False,False,False,85.4|75.0|57.2|27.6|43.5|60.6|21.8|-100.5|-120.9|35.5|205.1|143.2|2.9|-18.2|-90.0|-71.6|-106.9|1.0|47.5|141.3
